,name,timestamp,price,volume,market_cap_x,date,SMA_50,SMA_100,EMA_50,EMA_100,MACD,MACD_Signal,RSI,SMA_20,EMA_20,OBV,SIGNAL,circulating_supply,max_supply
0,bitcoin,1629590400000,48933.689151311635,42147725293.165855,920750216465.3846,2021-08-22 00:00:00,,,,,,,,,48933.689151311635,-1.0,,19464231.0,21000000.0
1,bitcoin,1629676800000,49250.54486971799,27110183703.24463,925630106451.4792,2021-08-23 00:00:00,,,,,,,,,48963.86588639796,0.0,,19464231.0,21000000.0
2,bitcoin,1629763200000,49518.57748790696,35800255386.41374,930729196214.2946,2021-08-24 00:00:00,,,,,,,,,49016.69556273215,-1.0,,19464231.0,21000000.0
3,bitcoin,1629849600000,47940.6079149608,38387146174.87064,902489541307.5308,2021-08-25 00:00:00,,,,,,,,,48914.211024849166,-2.0,,19464231.0,21000000.0
4,bitcoin,1629936000000,49002.70376627545,33517327123.555378,921328247353.5629,2021-08-26 00:00:00,,,,,,,,,48922.638904985004,-1.0,,19464231.0,21000000.0
5,bitcoin,1630022400000,47229.070650876114,33774857002.92822,887832142450.1957,2021-08-27 00:00:00,,,,,,,,,48761.34669030797,-2.0,,19464231.0,21000000.0
6,bitcoin,1630108800000,49083.10330586219,34607868773.39842,922969799298.9401,2021-08-28 00:00:00,,,,,,,,,48791.99017750361,-3.0,,19464231.0,21000000.0
7,bitcoin,1630195200000,48936.537254142204,28491785397.365837,920017911098.7555,2021-08-29 00:00:00,,,,,,,,,48805.75656575491,-2.0,,19464231.0,21000000.0
8,bitcoin,1630281600000,48907.27073106221,26244843557.507874,919515378468.8468,2021-08-30 00:00:00,,,,,,,,,48815.42458149847,-1.0,,19464231.0,21000000.0
9,bitcoin,1630368000000,47124.25422469402,32326073271.91957,885729258052.6316,2021-08-31 00:00:00,,,,,,,,,48654.36073799328,-2.0,,19464231.0,21000000.0
10,bitcoin,1630454400000,47335.42029920565,34868965959.24512,890014982634.8986,2021-09-01 00:00:00,,,,,,,,,48528.74736287065,-3.0,,19464231.0,21000000.0
11,bitcoin,1630540800000,48823.05520964915,39060601275.21267,918058330851.4829,2021-09-02 00:00:00,,,,,,,,,48556.77668161146,-4.0,,19464231.0,21000000.0
12,bitcoin,1630627200000,49338.78465183332,39362789535.46043,927323146557.2119,2021-09-03 00:00:00,,,,,,,,,48631.253631156396,-5.0,,19464231.0,21000000.0
13,bitcoin,1630713600000,49934.5282762881,42934455726.28852,937295558515.289,2021-09-04 00:00:00,,,,,,,58.23973108947331,,48755.37502593084,-6.0,,19464231.0,21000000.0
14,bitcoin,1630800000000,50013.02994694588,36985805206.72937,940538655659.8085,2021-09-05 00:00:00,,,,,,,58.6993773871916,,48875.151685075136,-5.0,,19464231.0,21000000.0
15,bitcoin,1630886400000,51696.206431317885,31765191430.17128,971284117138.44,2021-09-06 00:00:00,,,,,,,67.06892257887338,,49143.82356566968,-4.0,,19464231.0,21000000.0
16,bitcoin,1630972800000,52739.800166345514,37532574716.902405,992868819862.2306,2021-09-07 00:00:00,,,,,,,70.99377206738791,,49486.29752763881,-5.0,,19464231.0,21000000.0
17,bitcoin,1631059200000,46995.16417095979,64010507329.271904,881943904968.6511,2021-09-08 00:00:00,,,,,,,41.60115761684979,,49249.04673176462,-6.0,,19464231.0,21000000.0
18,bitcoin,1631145600000,46085.02861578186,48151104381.084854,866885887154.3109,2021-09-09 00:00:00,,,,,,,38.85637179883081,,48947.71167309959,-5.0,,19464231.0,21000000.0
19,bitcoin,1631232000000,46518.94118660236,38581092903.84418,876179332243.7437,2021-09-10 00:00:00,,,,,,,40.859768259432364,48770.31591558696,48716.40019819509,-4.0,,19464231.0,21000000.0
